methodology,title,citations,accuracy,date,proceeding,metric
SJTU2,,2,0.73,2022-11-11,,NDS
PCIE,,294,0.73,2022-03-24,,NDS
DAA AVP,,132,0.73,2021-07-30,,NDS
LinK,LinK3D: Linear Keypoints Representation for 3D LiDAR Point Cloud,14731,0.73,2022-10-31,,NDS
FocalFormer3D-L,FocalFormer3D : Focusing on Hard Instance for 3D Object Detection,60,0.73,2023-08-08,,NDS
RLVNet,,0,0.73,2022-02-27,,NDS
ADS-FUSION,,2,0.73,2022-06-03,,NDS
SphereFormer,,147,0.73,2022-11-11,,NDS
MDRNet-L,,10,0.73,2022-09-27,,NDS
VPFusion,,6,0.73,2023-03-01,,NDS
MGTANet,MGTANet: Encoding Sequential LiDAR Points Using Long Short-Term Motion-Guided Temporal Attention for 3D Object Detection,22,0.73,2022-08-18,,NDS
DSVT,DSVT: Dynamic Sparse Voxel Transformer with Rotated Sets,115,0.73,2023-01-15,cvpr-2023-1,NDS
FBMNet (Ours),Multi-Modal 3D Object Detection by Box Matching,0,0.721,2023-05-12,,NDS
bevfusion-re,,引用情報が見つかりません,0.72,2022-08-24,,NDS
GTFS,,134,0.72,2022-04-01,,NDS
BEVFusion,BEVFusion: Multi-Task Multi-Sensor Fusion with Unified Bird's-Eye View Representation,893,0.72,2022-05-16,,NDS
TransFusion,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,1169,0.72,2021-10-19,cvpr-2022-1,NDS
Leapmotor_huhaotian,,引用情報が見つかりません,0.72,2023-02-17,,NDS
MixFusion,,16,0.72,2022-09-21,,NDS
asdasdzz,,引用情報が見つかりません,0.72,2022-11-16,,NDS
smallrot_noflip,,引用情報が見つかりません,0.72,2022-11-03,,NDS
VirConv,,148,0.72,2023-01-25,,NDS
FusionPainting,FusionPainting: Multimodal Fusion with Adaptive Attention for 3D Object Detection,203,0.72,2021-05-08,,NDS
SJTU-VISION,,引用情報が見つかりません,0.72,2022-03-15,,NDS
q2rdasdsad1,,引用情報が見つかりません,0.72,2022-11-11,,NDS
VFF,,61,0.72,2021-11-13,,NDS
DCAN,,774,0.72,2021-07-15,,NDS
LidarMultiNet,"LidarMultiNet: Unifying LiDAR Semantic Segmentation, 3D Object Detection, and Panoptic Segmentation in a Single Multi-task Network",78,0.72,2022-07-22,,NDS
yangfan,,280,0.71,2022-11-15,,NDS
DS VinFast,,エラー,0.71,2022-10-21,,NDS
3D Dual-Fusion,3D Dual-Fusion: Dual-Domain Dual-Query Camera-LiDAR Fusion for 3D Object Detection,27,0.71,2022-10-18,,NDS
spacvpr1,,引用情報が見つかりません,0.71,2022-11-10,,NDS
Chaokang_Jiang,,エラー,0.71,2023-01-19,,NDS
Convoy,,エラー,0.71,2022-05-13,,NDS
UVTR-Multimodality,,エラー,0.71,2022-05-16,,NDS
MoCa (MMDet3D),,エラー,0.71,2020-12-09,,NDS
wilfred zaha,,0,0.71,2022-10-12,,NDS
picolo,,エラー,0.71,2022-09-26,,NDS
SJTU_VVISION,,エラー,0.71,2022-06-07,,NDS
test4444,,エラー,0.71,2022-12-22,,NDS
9541,,2906,0.71,2022-12-14,,NDS
SJTU AI Institute and Noah CV Lab,,エラー,0.71,2020-11-12,,NDS
CenterPoint,Center-based 3D Object Detection and Tracking,1904,0.71,2020-12-08,cvpr-2021-1,NDS
Damo,,エラー,0.71,2021-09-30,,NDS
